#C5DE93,Wakaba,Romantic,Fresh,Natural
#98CE97,Mint-green,Fresh,Elegant,Sharp
#C8D921,Wakakusa,Pop,Romantic,Fresh
#009854,Malachite-green,Mysterious,Fresh,Dynamic
#005842,Dark-green,Pop,Fresh,Elegant
#FFF2B8,Cream-yellow,Romantic,Elegant,Gorgeous
#FFE600,Bright-yellow,Pop,Romantic,Natural
#F8B500,Yamabuki,Pop,Casual,Natural
#F08300,Orange,Pop,Natural,Fresh
#DF6C31,Carrot-orange,Pop,Natural,Fresh
#FDEADF,Baby-pink,Romantic,Romantic,Elegant
#E7ACB9,Ibis,Romantic,Natural,Elegant
#E94E66,Rose,Pop,Cute,Romantic
#D7003A,Kurenai,Pop,Casual,Dynamic
#932E44,Wine-red,Natural,Elegant,Mysterious
#D1BADA,Lilac,Beautiful,Elegant,Stylish
#CC7DB1,Iris,Cute,Elegant,Mysterious
#895687,Tyrian-purple,Casual,Natural,Elegant
#8E8BC2,Wisteria,Clear,Fresh,Dynamic
#51318F,Pansy,Clear,Elegant,Dynamic
#A0D8EF,Sky,Pop,Romantic,Fresh
#6C9BD2,Hyacinth,Clear,Elegant,Mysterious
#0068B7,Cobalt-blue,Clear,Pop,Sharp
#26499B,Oriental-blue,Clear,Dynamic,Sharp
#213A70,Blue-black,Fresh,Mysterious,Sharp
#BF7834,Amber,Pop,Natural,Gorgeous
#965036,Cypress-bark,Pop,Dynamic,Stylish
#916F24,Low-amber,Romantic,Elegant,Gorgeous
#6F4E27,Sepia,Pop,Natural,Stylish
#4B2D16,Deep-brown,Natural,Fresh,Dynamic
#FBFDEF,Snow-white,Pop,Romantic,Fresh
#F8F5E3,Ivory-white,Cute,Romantic,Elegant
#C9C9C4,Pearl-gray,Natural,Gorgeous,Sharp
#A7A9AB,Scale-gray,Pop,Fresh,Mysterious
#2F2725,Ink,Dynamic,Stylish,Mysterious
